Código INFOBRAS,Código Único de Inversión,Código SNIP,Nombre de la obra,Modalidad de ejecución,Estado de obra,Fecha de Inicio,Monto Expediente Técnico,Distrito,Provincia,Región
559548,2709670,2709670,"RENOVACION DE RESERVORIO; EN EL(LA) DEL SISTEMA DE AGUA POTABLE EN EL CASERIO DE MITO DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Contrata,Sin Ejecución,"",117337.06,CHACAYAN,DANIEL ALCIDES CARRION,PASCO
559394,2690866,2690866,CREACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA LOCALIDAD DE UYLUPAMPA DISTRITO DE TAPUC DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",398085.45,TAPUC,DANIEL ALCIDES CARRION,PASCO
559084,2725357,2725357,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL BARRIO EL MIRADOR, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",301189.72,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559083,2725348,2725348,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL SECTOR GAVILAN, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",266301.44,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559082,2672321,2672321,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOCALIDAD DE PUERTO LAGARTO DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",275240.83,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559081,2726084,2726084,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL BARRIO SAN JERONIMO, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",279417.98,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559074,2726079,2726079,"CONSTRUCCION DE LOSA DEPORTIVA; EN EL(LA) IE 34277 - SAN PABLO, DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"","",PUERTO BERMUDEZ,OXAPAMPA,PASCO
558937,2729119,2729119,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN LA AV. VISTA ALEGRE, PJE. VISTA ALEGRE, PJE. ESTACIÓN CENTRAL Y CALLE JESÚS AYALA IDELFONSO DISTRITO DE GOYLLARISQUIZGA DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",718252.15,GOYLLARISQUIZGA,DANIEL ALCIDES CARRION,PASCO
558848,2569999,2569999,"CREACION DEL CERCO PERIMETRICO DEL CEMENTERIO GENERAL EN EL CENTRO POBLADO DE HUAYO, DEL DISTRITO DE SANTA ANA DE TUSI - PROVINCIA DE DANIEL ALCIDES CARRION - DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",884296.61,SANTA ANA DE TUSI,DANIEL ALCIDES CARRION,PASCO
558282,2726087,2726087,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. TRES HERMANOS, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",263773.75,PUERTO BERMUDEZ,OXAPAMPA,PASCO
558281,2725359,2725359,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA EL MILAGRO, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",267745.41,PUERTO BERMUDEZ,OXAPAMPA,PASCO
558191,0,0,"MEJORAMIENTO DE VIVIENDA RURAL EN LOS CENTROS POBLADOS FUNGOLCUTA Y MARAYPAMPA - DISTRITO DE SANTA ANA DE TUSI - PROVINCIA DANIEL ALCIDES CARRION; CENTROS POBLADOS GARACHACPA, MANAHUAYLAN Y OTROS - DISTRITO HUAYLLAY; CENTRO POBLADO 30 DE AGOSTO - DISTRITO DE TICLACAYAN - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1901-2024-100-PAS/VMVU/PNVR (N° 100-2026)",Por núcleo ejecutor,En Ejecución,5/05/2026 00:00:00,1250444.33,SANTA ANA DE TUSI,DANIEL ALCIDES CARRION,PASCO
557967,2713616,2713616,"CONSTRUCCION DE MURO DE CONTENCION; EN EL(LA) LOCALIDAD DE HUAYLLAY CASERIO DE LEON PATA DISTRITO DE HUAYLLAY, PROVINCIA PASCO, DEPARTAMENTO PASCO",Administración directa,En Ejecución,9/03/2026 00:00:00,130563.24,HUAYLLAY,PASCO,PASCO
557349,2660972,2660972,CREACION DE LOS SERVICIOS CULTURALES PARA LA PARTICIPACIÓN DE LA POBLACIÓN EN LAS INDUSTRIAS CULTURALES Y LAS ARTES EN LOCALIDAD DE SAN PEDRO DE PILLAO DISTRITO DE SAN PEDRO DE PILLAO DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"","",SAN PEDRO DE PILLAO,DANIEL ALCIDES CARRION,PASCO
557233,2701033,2701033,"CONSTRUCCION DE ASCENSOR Y VIAS DE ACCESO; REMODELACION DE AMBIENTE COMPLEMENTARIO; EN EL(LA) INFRAESTRUCTURA PUBLICA DISTRITO DE OXAPAMPA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO - CUI N° 2701033",Administración directa,En Ejecución,4/05/2026 00:00:00,174229.80,OXAPAMPA,OXAPAMPA,PASCO
556953,2663904,2663904,"CONSTRUCCION DE ESTRUCTURA DE SOPORTE Y COBERTURA; EN EL(LA) LOSA DEPORTIVA DE LA LOCALIDAD DE PAMPANIA DISTRITO DE SANTA ANA DE TUSI, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Contrata,Sin Ejecución,"",534411.74,SANTA ANA DE TUSI,DANIEL ALCIDES CARRION,PASCO
556862,0,0,MEJORAMIENTO DE VIVIENDA RURAL EN LOS CENTROS POBLADOS CHUNQUIPATA Y MANCANCOTA - DISTRITO DE PALLANCHACRA - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1901-2024-099-PAS/VMVU/PNVR (N° 099-2026),Por núcleo ejecutor,En Ejecución,6/04/2026 00:00:00,1191715.71,PALLANCHACRA,PASCO,PASCO
556859,0,0,MEJORAMIENTO DE VIVIENDA RURAL EN LOS CENTROS POBLADOS HUAMANGUAY Y SHUYCOCHA - DISTRITO DE HUANCABAMBA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1903-2024-101-PAS/VMVU/PNVR (N° 101-2026),Por núcleo ejecutor,En Ejecución,7/04/2026 00:00:00,1007570.70,HUANCABAMBA,OXAPAMPA,PASCO
556645,2703933,2703933,CREACION DE LOS SERVICIOS DE APOYO AL DESARROLLO PRODUCTIVO EN 10 UNIDADES PRODUCTORAS DISTRITO DE CONSTITUCION DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Administración directa,Sin Ejecución,"","",CONSTITUCION,OXAPAMPA,PASCO
556630,2449568,2449568,"MEJORAMIENTO DEL APROVECHAMIENTO FORESTAL DE ESPECIES DE RAPIDO CRECIMIENTO, PARA MITIGAR LA PERDIDA DE LA BIODIVERSIDAD (SUELO-BOSQUE) EN LAS 21 LOCALIDADES DEL DISTRITO DE PUERTO BERMUDEZ - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO - AÑO 3",Administración directa,En Ejecución,6/03/2026 00:00:00,4355989.74,PUERTO BERMUDEZ,OXAPAMPA,PASCO
556389,2429909,2429909,COAR PASCO,Asociacion Pública Privada - APP,En Ejecución,28/09/2025 00:00:00,"",,PASCO,PASCO
556281,2331822,2331822,MEJORAMIENTO DEL SERVICIO DE SEGURIDAD VECINAL Y COMUNAL EN EL DISTRITO DE VILCABAMBA - DANIEL ALCIDES CARRION - PASCO,Contrata,Sin Ejecución,"",2741649.44,VILCABAMBA,DANIEL ALCIDES CARRION,PASCO
556181,0,0,MEJORAMIENTO DE VIVIENDA RURAL EN EL CENTRO POBLADO LANTURACHI GRUPO 02 - DISTRITO DE HUANCABAMBA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1903-2024-098-PAS/VMVU/PNVR (N° 098-2026),Por núcleo ejecutor,En Ejecución,24/03/2026 00:00:00,2884062.45,HUANCABAMBA,OXAPAMPA,PASCO
556180,0,0,MEJORAMIENTO DE VIVIENDA RURAL EN EL CENTRO POBLADO LANTURACHI GRUPO 01 - DISTRITO DE HUANCABAMBA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1903-2024-097-PAS/VMVU/PNVR (N° 097-2026),Por núcleo ejecutor,En Ejecución,24/03/2026 00:00:00,3296481.26,HUANCABAMBA,OXAPAMPA,PASCO
556172,0,0,"MEJORAMIENTO DE VIVIENDA RURAL EN LOS CENTROS POBLADOS ÑAGAZU, CANAL DE PIEDRA Y SANTA IRENE - DISTRITO DE VILLA RICA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO - CONVENIO N° 1082-1903-2024-102-PAS/VMVU/PNVR (N° 102-2026)",Por núcleo ejecutor,En Ejecución,24/03/2026 00:00:00,3014871.75,VILLA RICA,OXAPAMPA,PASCO
556163,2627630,2627630,CREACION DEL SERVICIO DE MOVILIDAD URBANA EN PISTAS Y VEREDAS EN EL JR.28 DE JULIO;JR.CERRO DE PASCO ;CALLE ANDRES A.CACERES ; JR PROGRESO;CALLE JULIO C. TELLO ; CALLE VILCABAMBA DISTRITO DE VILCABAMBA DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",6191609.66,VILCABAMBA,DANIEL ALCIDES CARRION,PASCO
555801,2503951,2503951,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA I.E. N° 34618 REMIGIO MORALES BERMUDEZ DEL DISTRITO DE PUERTO BERMUDEZ - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO",Gobierno a Gobierno,Sin Ejecución,"","",PUERTO BERMUDEZ,OXAPAMPA,PASCO
555526,2672319,2672319,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA LOCALIDAD DE ALVARIÑO DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Administración directa,En Ejecución,2/05/2026 00:00:00,234821.05,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555525,2714248,2714248,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. PAUJIL, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Administración directa,Finalizado,4/05/2026 00:00:00,214745.16,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555523,2714237,2714237,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. SANTA ISIDORA DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,En Ejecución,11/05/2026 00:00:00,261469.39,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555522,2672328,2672328,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA LOCALIDAD DE NARANJILLO NEVATI DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,En Ejecución,11/05/2026 00:00:00,262559.85,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555521,2714246,2714246,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. SARDIS, DISTRITO DE PUERTO BERMUDEZ - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO",Contrata,En Ejecución,11/05/2026 00:00:00,268939.78,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555520,2714245,2714245,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. MANICHARI DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,En Ejecución,11/05/2026 00:00:00,267714.19,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555519,2673024,2673024,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. BETANIA DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Administración directa,Sin Ejecución,"",231956.79,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555512,2709037,2709037,"CONSTRUCCION DE LINEA DE IMPULSION; ADQUISICION DE INFRAESTRUCTURA DE ALMACENAMIENTO; EN EL(LA) DEL SISTEMA DE AGUA POTABLE DEL BARRIO MIRAFLORES Y LAS LOMAS DEL DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"",187284.81,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555511,2709040,2709040,"CONSTRUCCION DE CAPTACION DE AGUA Y LINEA DE IMPULSION; ADQUISICION DE INFRAESTRUCTURA DE ALMACENAMIENTO; EN EL(LA) DEL SISTEMA DE AGUA POTABLE DE BARRIO MANGUAL Y MIRADOR DEL DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"",178894.86,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555507,2718273,2718273,"CONSTRUCCION DE SISTEMA DE DRENAJE; EN EL(LA) CUNETA PLUVIAL DE LA CALLE PUERTO PRINCIPAL DEL DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,16/04/2026 00:00:00,65173.93,PUERTO BERMUDEZ,OXAPAMPA,PASCO
555200,2689376,2689376,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL BARRIO DE AGOCHINCHAN DE CENTRO POBLADO QUIPARACRA DISTRITO DE HUACHON DE LA PROVINCIA DE PASCO DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",1319759.31,HUACHON,PASCO,PASCO
555147,2627851,2627851,CREACION DE LOS SERVICIOS TURÍSTICOS PÚBLICOS EN RECURSOS TURÍSTICOS EN LOCALIDAD DE HUAYLLAY DISTRITO DE HUAYLLAY DE LA PROVINCIA DE PASCO DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",721497.85,HUAYLLAY,PASCO,PASCO
554915,2710878,2710878,"CONSTRUCCION DE VIAS DE ACCESO; EN EL(LA) SECTOR EL IDEAL Y NOGALPAMPA (JR. HEROLD, JR. KOCH, JR. KENNEDY, JR IDEAL, PASAJE ESTEBAN YALICO Y PROLONGACION HUANCABAMBA) DISTRITO DE OXAPAMPA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,En Ejecución,30/01/2026 00:00:00,583067.57,HUANCABAMBA,OXAPAMPA,PASCO
554756,2685615,2685615,"RENOVACION DE PATIO TALLER; EN EL(LA) COMISARIA DISTRITAL DE CHACAYAN DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Contrata,Finalizado,1/07/2025 00:00:00,34568.52,CHACAYAN,DANIEL ALCIDES CARRION,PASCO
554682,2657303,2657303 ,CREACION DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN GOCHACHUPAN DISTRITO DE PAUCARTAMBO DE LA PROVINCIA DE PASCO DEL DEPARTAMENTO DE PASCO,Administración directa,Sin Ejecución,"",4911083.09,PAUCARTAMBO,PASCO,PASCO
554547,2692828,2692828,"RENOVACION DE CAMPO MENOR (MULTIDEPORTIVO RECREATIVO); EN EL(LA) I.E. 34129 DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Contrata,En Ejecución,20/10/2025 00:00:00,181170.61,CHACAYAN,DANIEL ALCIDES CARRION,PASCO
554201,2647863,2647863,"REPARACION DE SUPERFICIE DE RODADURA; EN EL(LA) VIAS URBANAS DE LA CC.NN. DE PUERTO YESUPE, DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,13/04/2026 00:00:00,266367.19,PUERTO BERMUDEZ,OXAPAMPA,PASCO
553980,2681458,2681458,"ADQUISICION DE TRIMOVIL; EN EL(LA) SERVICIO DE LIMPIEZA PUBLICA EN ZONA URBANA DE LA CIUDAD DE OXAPAMPA DISTRITO DE OXAPAMPA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,1/12/2025 00:00:00,41000,OXAPAMPA,OXAPAMPA,PASCO
553732,2686973,2686973,"SANEAMIENTO TECNICO LEGAL DE TERRENO, EN EL(LA), CENTRO POBLADO SAN AGUSTIN DE HUAYCHAO Y LOS ANDES DE PUCARA, DISTRITO DE HUAYLLAY, PROVINCIA PASCO, DEPARTAMENTO PASCO.",Administración directa,En Ejecución,1/12/2025 00:00:00,73970.14,HUAYLLAY,PASCO,PASCO
553598,2701212,2701212,MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA UNIDAD DE MAESTRANZA DE LA MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Obras por impuestos,Finalizado,4/02/2026 00:00:00,11272706.12,PUERTO BERMUDEZ,OXAPAMPA,PASCO
553570,2629474,2629474,"RENOVACION DE CAMION COMPACTADOR; EN EL(LA) GERENCIA DE RESIDUOS SOLIDOS DISTRITO DE OXAPAMPA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,13/03/2024 00:00:00,1390000,OXAPAMPA,OXAPAMPA,PASCO
553559,2691115,2691115,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LA CC. NN. ALTO CHURUMAZU Y LAS LOCALIDADES DE ALTO CHURUMAZU, ALTO SOGORMO, ALTO TRES AGUAS Y SANTA ELENA DISTRITO DE OXAPAMPA DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"","",OXAPAMPA,OXAPAMPA,PASCO
553558,2692235,2692235,MEJORAMIENTO DEL SERVICIO COMPLEMENTARIO AL TRANSPORTE TERRESTRE EN EL TERMINAL TERRESTRE DEL DISTRITO DE OXAPAMPA DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",1999973.63,OXAPAMPA,OXAPAMPA,PASCO
553555,2620470,2620470,"ADQUISICION DE CAMION COMPACTADOR; EN EL(LA) UNIDAD DE GESTIÓN DE RESIDUOS SÓLIDOS DISTRITO DE OXAPAMPA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,20/11/2023 00:00:00,485990,OXAPAMPA,OXAPAMPA,PASCO
553471,2695499,2695499,"RENOVACION DE SERVICIOS HIGIENICOS Y/O VESTIDORES; EN EL(LA) LOCALIDAD DE CHACAYAN, DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"","",CHACAYAN,DANIEL ALCIDES CARRION,PASCO
553345,2657084,2657084,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN EMPALME JU 1399 PUENTE MELLIZOS, ANEXO SAN JUAN 71, Y ALTO CHINCARMAS EMPALME JU1403 DISTRITO DE PERENE DE LA PROVINCIA DE CHANCHAMAYO DEL DEPARTAMENTO DE JUNIN",Administración directa,Sin Ejecución,"",2938380.68,,,PASCO
553232,2655955,2655955,MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN EL CENTRO CIVICO DEL CENTRO POBLADO DE SAN FRANCISCO DE CAHUAPANAS DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,En Ejecución,27/04/2026 00:00:00,904393.13,PUERTO BERMUDEZ,OXAPAMPA,PASCO
553205,2675780,2675780,"CONSTRUCCION DE COBERTURA; RENOVACION DE CAMPO DEPORTIVO; REPARACION DE BOLETERIA Y SERVICIOS HIGIENICOS Y/O VESTIDORES; ADEMÁS DE OTROS ACTIVOS EN EL(LA) COLISEO DEPORTIVO EN EL CENTRO POBLADO QUIPARACRA, DISTRITO DE HUACHON, PROVINCIA PASCO, DEPARTAMENTO PASCO",Contrata,En Ejecución,24/03/2026 00:00:00,528058.77,HUACHON,PASCO,PASCO
553033,2650403,2650403,"MEJORAMIENTO DEL SERVICIO DE ATENCIÓN DE SALUD BÁSICOS EN BOTIQUIN COMUNAL DE LA CC.NN. MIRITIRIANI, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Administración directa,En Ejecución,11/02/2026 00:00:00,318661.27,PUERTO BERMUDEZ,OXAPAMPA,PASCO
553013,2707856,2707856,"RENOVACION DE SUPERFICIE DE RODADURA; CONSTRUCCION DE DRENAJE TRANSVERSAL; EN EL(LA) PA 632 (EMP. PA 631 SAN ROQUE - PTA. CARRETERA) EN EL CENTRO POBLADO SAN ROQUE, DISTRITO DE CHONTABAMBA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Contrata,En Ejecución,2/02/2026 00:00:00,466865.64,CHONTABAMBA,OXAPAMPA,PASCO
552878,2714278,2714278,"RENOVACION DE ESCALERA/ESCALINATA; EN EL(LA) CALLE PINTO Y MURILLO, ACCESO AL PUERTO PRINCIPAL DEL DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,24/12/2025 00:00:00,51612.46,PUERTO BERMUDEZ,OXAPAMPA,PASCO
552837,0,0,"MEJORAMIENTO DE VIVIENDA RURAL EN LOS CENTROS POBLADOS MALAUCHACA (SAN ANTONIO DE MALAUCHACA), QUIPAPUQUION Y OTROS - DISTRITO DE TICLACAYAN - PROVINCIA DE PASCO- DEPARTAMENTO DE PASCO -Convenio NE No1082-1901-2023-216-PAS/VMVU/PNVR",Por núcleo ejecutor,Finalizado,29/07/2024 00:00:00,1327889.05,TICLACAYAN,PASCO,PASCO
552770,2692141,2692141,"ADQUISICION DE EQUIPO DE OTROS ACTIVOS COMPLEMENTARIOS; EN EL(LA) OPTIMIZACION Y REPOCISION EN LOS CAMPOS DE CULTIVOS EN EL DISTRITO DE HUAYLLAY, PROVINCIA PASCO, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"",192223.60,HUAYLLAY,PASCO,PASCO
552662,2712653,2712653,"REPARACION DE ESPACIO DE RECREACION PASIVA; CONSTRUCCION DE PLATAFORMA PARA DISCAPACITADOS; EN EL(LA) PARQUE LOS FUNDADORES DE DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Finalizado,24/12/2025 00:00:00,217464.43,PUERTO BERMUDEZ,OXAPAMPA,PASCO
552622,2672505,2672505,RECUPERACION DE AREAS DEGRADADAS POR RESIDUOS SÓLIDOS MUNICIPALES EN LOCALIDAD DE HUAYLLAY DISTRITO DE HUAYLLAY DE LA PROVINCIA DE PASCO DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"","",HUAYLLAY,PASCO,PASCO
552140,2668484,2668484,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE GRASS SINTÉTICO EN LOCALIDAD DE SAN PEDRO DE PILLAO DISTRITO DE SAN PEDRO DE PILLAO DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO,Contrata,En Ejecución,26/02/2026 00:00:00,622884.66,SAN PEDRO DE PILLAO,DANIEL ALCIDES CARRION,PASCO
552132,2679894,2679894,"REPARACION DE PUENTE PEATONAL; EN EL(LA) CAMINO DE HERRADURA DEL CASERIO SAN PEDRO DE HERRERIA DISTRITO DE HUANCABAMBA, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,En Ejecución,13/11/2025 00:00:00,72086.08,HUANCABAMBA,OXAPAMPA,PASCO
552099,2487220,2487220,MEJORAMIENTO DEL CENTRO DEPORTIVO Y RECREATIVO WILAPARAG DEL DISTRITO DE SANTA ANA DE TUSI - PROVINCIA DE DANIEL ALCIDES CARRION - DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",4815882.99,SANTA ANA DE TUSI,DANIEL ALCIDES CARRION,PASCO
552011,2708142,2708142,"RENOVACION DE INFRAESTRUCTURA DEPORTIVA; EN EL(LA) IMPLEMENTACIÓN DEL GRASS SINTÉTICO Y OTROS ACTIVOS EN LA LOSA DEPORTIVA DE LA INSTITUCIÓN EDUCATIVA DE NIVEL PRIMARIA AGUSTÍN GARCÍA LIMAS N° 34132 - BARRIO PAMPA VERDE EN EL CENTRO POBLADO GOYLLARISQUIZGA, DISTRITO DE GOYLLARISQUIZGA, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Administración directa,En Ejecución,29/01/2026 00:00:00,370201.81,GOYLLARISQUIZGA,DANIEL ALCIDES CARRION,PASCO
551957,2687125,2687125,"CONSTRUCCION DE MURO DE CONTENCION; EN EL(LA) CASERIO SANTO ROSARIO DEL DISTRITO DE HUAYLLAY, PROVINCIA PASCO, DEPARTAMENTO PASCO",Administración directa,Finalizado,3/11/2025 00:00:00,92904.52,HUAYLLAY,PASCO,PASCO
